numberUpdates,timeAppLastUsed,firstToLast,date_hour,date_min,activityContextPosted,category,contactSignificantContext,ledARGB,priority,significant,date_holiday,topic,seenUnlocked,date_dayofweek,date_weekend,action,appPackage
-0.8413291476026643,-0.9560450664228282,2718.9434425495565,3.208717107772827,35.633786380290985,unknown,unknown,false,0.0,0.0,True,False,unknown,0,2,False,True,com.microsoft.skydrive
-0.3386234544450417,386.23404122524136,12175.496275767684,8.597970515489578,39.41981655359268, foot walking,unknown,false,0.0,0.0,True,False,unknown,1,1,False,False,com.soundcloud.android
0.2685496199410409,70055.0033270608,83455.84310859442,22.50947993993759,6.89551468193531, still,unknown,false,0.0,0.0,False,False,unknown,0,4,False,True,com.nuance.swype.emui
-0.6301739694899879,179.40045510306155,59157.77228873968,19.18189287185669,30.708135783672333, still,unknown,false,0.0,-1.0,False,False,unknown,0,1,False,False,com.fitbit.FitbitMobile
1.142020323779434,-0.5720389364745425,46276.97349780798,18.48129779100418,12.089743345975876,unknown,unknown,false,0.0,0.0,True,False,unknown,0,5,True,True,ie.bambooapp.customer
-0.4995805899379775,30.042014482252455,34123.59682190418,16.05908364057541,47.13619416952133, still,unknown,false,0.0,0.0,False,False,sports,1,6,True,True,com.pof.android
-0.8874027493875474,311.07472569867264,408.73909919383004,0.48591895401477814,10.586121663451195, still,unknown,false,0.0,0.0,False,False,online communities,0,0,False,False,com.huawei.phoneservice
1.938268547412008,21.17628604027086,11932.605534255505,17.020571887493134,26.037058979272842,unknown,msg,false,0.0,1.0,False,False,sports,0,6,True,False,projekt.substratum
2.4706978984177113,25.9720319681794,2225.115264682099,12.7810178399086,22.11882296204567,unknown,msg,false,0.0,1.0,True,False,unknown,1,3,False,True,com.td.myspend
-0.18660857540089637,853703.7568562547,36629.84365865588,19.85159868001938,33.88912218809128, still,unknown,false,0.0,0.0,False,True,unknown,1,0,False,True,org.mozilla.firefox
-0.3600093834102154,-0.9914710448700471,56314.5057130456,18.794977724552155,23.692205786705017,unknown,unknown,false,0.0,0.0,False,False,unknown,1,5,True,True,com.amazon.dee.app
1.1975666680373251,-0.6411331170695923,5.342717470834032,1.8801514208316803,4.134583123028278,unknown,unknown,false,0.0,1.0,True,False,unknown,0,3,False,True,com.google.android.apps.tachyon
0.6502446308732033,340.7116255822446,7.897417809042963,2.7750924229621887,6.0490613505244255,unknown,msg,false,0.0,0.0,True,False,unknown,0,0,False,True,com.touchtype.swiftkey
-0.08220520266331732,3.503069933034583,58987.96853661537,17.294654548168182,20.967530697584152,unknown,unknown,false,0.0,0.0,True,False,unknown,1,2,False,True,com.ascendik.eyeshield
