numberUpdates,timeAppLastUsed,firstToLast,date_hour,date_min,activityContextPosted,appPackage,category,contactSignificantContext,ledARGB,priority,significant,date_holiday,topic,seenUnlocked,date_dayofweek,date_weekend,action
12.890513008460402,-0.9999977517880787,83652.45356082916,22.218284249305725,38.87721133232117, still,com.tinder,unknown,false,0.0,1.0,True,False,business & industrial,1,5,True,False
-0.9329463002213743,-0.982244292767046,85874.28118252754,22.749858856201172,9.032776847481728, still,com.google.android.gm,email,false,0.0,0.0,False,True,jobs & education,1,4,False,False
2.3505588523112237,-0.9103900712212276,75.83936373027973,20.01862722635269,5.914506368339062,unknown,com.whatsapp,msg,unknown,0.0,1.0,True,False,internet & telecom,1,2,False,False
16.212824907153845,22.540341144181525,73490.05110824108,18.658577978610992,44.838149666786194,unknown,com.whatsapp,unknown,true,0.0,0.0,True,False,unknown,0,2,False,True
-0.9727317961951485,-0.6695287243377764,33795.19242024422,17.50334495306015,2.723522938787937,unknown,com.google.android.gm,email,true,0.0,0.0,False,False,internet & telecom,1,2,False,True
8.770412147045135,-0.9970953950362904,19331.409253776073,20.926853001117706,10.853284269571304,unknown,com.whatsapp,msg,false,-1.0,1.0,True,False,unknown,0,3,False,True
6.593530913814902,26.003173161304947,72597.50473868847,19.47446495294571,22.883166790008545, still,com.google.android.apps.maps,unknown,false,0.0,-1.0,False,False,unknown,1,2,False,False
-0.9989604861018506,213.92261708540056,57262.4666069746,16.18342763185501,12.622276812791824, still,io.wia.wia,unknown,false,0.0,0.0,False,True,unknown,1,0,False,False
-0.9838647926844715,-0.999951101258623,81584.91595125198,21.711996018886566,18.569806069135666, still,com.whatsapp,unknown,true,0.0,0.0,True,False,unknown,1,2,False,True
-0.9582431117232773,-0.9999999987049571,6.084176623975509,16.475081205368042,4.268523566424847,unknown,com.whatsapp,msg,false,-1.0,1.0,True,False,unknown,0,4,False,True
6.38990443944931,-0.9999999251694464,53105.16107296944,21.122411489486694,11.117353960871696, still,com.whatsapp,unknown,true,0.0,0.0,True,False,online communities,1,1,False,True
-0.568001355510205,0.08174798167579729,52224.63275837898,19.95133626461029,16.790755838155746,unknown,com.google.android.gm,email,false,0.0,0.0,False,True,internet & telecom,1,0,False,False
-0.999987511009854,63.782607297986,70648.85121047497,18.390162646770477,45.163737416267395,unknown,com.tinder,unknown,unknown,-16776961.0,2.0,True,False,sports,1,6,True,True
-0.9985222568059271,190.073054957549,53965.1568287611,20.80181121826172,41.28437823057175, still,com.tinder,unknown,false,0.0,2.0,True,False,unknown,0,4,False,False
-0.9506190082975081,-0.9566292704268315,57583.44025039673,17.685368478298187,2.685262404382229, foot walking,com.whatsapp,unknown,true,0.0,0.0,True,False,unknown,1,5,True,True
2.426410931162536,-0.8920676023995875,49494.36321210861,15.283952355384827,34.22408539056778, still,com.google.android.gm,email,false,0.0,0.0,False,False,arts & entertainment,1,1,False,False
-0.9949065387581868,-0.9999861404395894,48579.41675209999,21.476801872253418,13.410936683416367,unknown,com.whatsapp,unknown,false,0.0,1.0,True,False,online communities,1,5,True,False
-0.9323761236591963,48.57293545800995,72486.29142785072,18.47974729537964,15.846138507127762,unknown,com.whatsapp,unknown,false,0.0,0.0,True,False,unknown,1,4,False,True
172.35079938173294,8.494120416295225,8179.636889517307,18.44299739599228,3.4692426808178425,unknown,com.google.android.gm,email,unknown,0.0,0.0,False,False,online communities,0,2,False,False
2.774745797738433,1693.1696284740474,46495.410908818245,14.926624119281769,18.317212164402008, still,com.google.android.gm,email,false,0.0,0.0,False,False,unknown,1,3,False,False
9.289809975773096,100.86330189429307,229.53545263316482,17.44340068101883,2.4556042477488518,unknown,com.facebook.orca,msg,false,0.0,1.0,True,False,unknown,1,2,False,False
-0.9925844713070546,-0.9999998038993351,666.2452145460993,21.39807480573654,53.01624196767807, still,com.whatsapp,msg,true,-1.0,1.0,True,False,internet & telecom,1,5,True,True
-0.9999999949326068,2442.701036464605,78202.06499159336,20.343301832675934,2.529305163770914,unknown,com.facebook.katana,unknown,false,-16776961.0,2.0,True,False,sports,0,6,True,True
-0.9967289607334351,-0.9841153673604084,69784.95061576366,19.643795251846313,19.42304965853691, still,com.pixonic.wwr,unknown,false,0.0,0.0,False,False,unknown,0,6,True,False
-0.5623914694297127,-0.9998776598824147,73484.39706611633,20.310038149356842,15.552489191293716, still,com.google.android.gm,unknown,false,0.0,0.0,False,False,unknown,1,2,False,True
-0.05608509760349989,9.085986757933274,10109.647255629301,19.839320838451385,3.0860984064638615,unknown,com.whatsapp,msg,false,0.0,1.0,True,False,online communities,1,5,True,False
-0.9993244670830563,2012.1466874577286,64393.9474953413,16.5084490776062,16.668996274471283,unknown,com.google.android.gm,email,false,0.0,0.0,False,True,sports,0,0,False,False
-0.9997863150115336,-0.9997770030388644,76213.01001405716,19.668156266212463,24.103123873472214,unknown,com.whatsapp,unknown,false,0.0,0.0,True,False,arts & entertainment,1,3,False,True
34.837125450372696,-0.9963900664994144,97.16039034328423,17.41301864385605,13.48843802511692,unknown,com.whatsapp,msg,true,-1.0,1.0,True,False,unknown,0,3,False,True
6.51639523729682,-0.9518173973508357,79247.49172127247,20.766238927841187,43.33405411243439, still,com.google.android.gm,email,true,0.0,0.0,False,False,online communities,1,2,False,False
-0.8133925329893827,0.8540839277401757,80302.36414825916,21.127779960632324,4.411362513899803,unknown,com.whatsapp,unknown,true,0.0,0.0,True,False,unknown,1,4,False,True
-0.906183948070975,-0.9999999949231758,47684.65815496445,21.9469872713089,45.16372334957123,unknown,com.whatsapp,msg,true,0.0,0.0,True,False,unknown,1,0,False,True
-0.9947297396101931,-0.9999992591244952,72134.53180801868,19.80938297510147,31.750115752220154, still,com.whatsapp,unknown,false,0.0,0.0,True,False,unknown,1,5,True,True
2.978532589972019,-0.7897215779149533,67521.20385372639,21.245045959949493,55.08509075641632,unknown,com.whatsapp,unknown,unknown,0.0,0.0,True,False,unknown,1,6,True,True
3.721469216048717,-0.8750557799613141,1536.9401292987168,16.205338835716248,42.78172528743744,unknown,com.whatsapp,msg,true,-1.0,1.0,True,False,unknown,0,5,True,True
